;rxcui;drug_name;clean_name;rxcui_x;variable;rxcui_y;name;atc
8224;103943.0;CILOXAN OPHTH SOLN 0.3%;Ciloxan Ophth Soln 0.3%;103943.0;IN;2551.0;ciprofloxacin;['J01MA02', 'S01AE03', 'S02AA15', 'S03AA07']
8225;2590763.0;Generic Timodine cream;Generic Timodine Cream;2590763.0;IN;2358.0;chlorhexidine;['A01AB03', 'B05CA02', 'D08AC02', 'D09AA12', 'R02AA05', 'S01AX09', 'S02AA09', 'S03AA04']
8227;1234482.0;Multivitamin  Tablets;Multivitamin Tablets;1234482.0;IN;10454.0;thiamine;['A11DA01']
8229;135095.0;Co-codaprin dispersible tablet 400/8;Co-Codaprin Dispersible Tablet 400 8;135095.0;IN;1191.0;aspirin;['A01AD05', 'B01AC06', 'N02BA01']
8229;135095.0;Co-codaprin dispersible tablet 400/8;Co-Codaprin Dispersible Tablet 400 8;135095.0;MIN;135095.0;aspirin / codeine;['N02AJ07']
8230;1298448.0;Ultra PKU pizza base(s);Ultra Pku Pizza Base S;1298448.0;IN;47461.0;butenafine;['D01AE23']
8231;1304853.0;Vioxx acute tablets 25mg;Vioxx Acute Tablets 25Mg;1304853.0;IN;161.0;acetaminophen;['N02BE01']
8234;106258.0;Mediven 2in1 compression hosiery applicator (Medi UK Ltd);Mediven 2In1 Compression Hosiery Applicator Medi Uk Ltd;106258.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8235;1234482.0;MULTIVITAMINS TAB;Multivitamins Tab;1234482.0;IN;10454.0;thiamine;['A11DA01']
8236;1741747.0;Schar GF WF bread mix [1000gm pack(s)];Schar Gf Wf Bread Mix 1000Gm Pack S;1741747.0;IN;1667655.0;cariprazine;['N05AX15']
8240;2611703.0;SOFTCLIX II 0.36mm(28ga)lancet;Softclix Ii 0.36Mm 28Ga Lancet;2611703.0;IN;1999003.0;angiotensin II;['C01CX09']
8241;2037.0;CO-BENELDOPA CAP 62.5mg;Co-Beneldopa Cap 62.5Mg;2037.0;IN;2037.0;carbon monoxide;['V04CX08']
8243;1101446.0;Kalms Sleep tablets (G.R. Lane Health Products Ltd);Kalms Sleep Tablets G.R. Lane Health Products Ltd;1101446.0;IN;3642.0;doxylamine;['R06AA09']
8245;151802.0;Fucidin 2 % cream;Fucidin 2 % Cream;151802.0;PIN;4608.0;fusidic acid;['D06AX01', 'D09AA02', 'J01XC01', 'S01AA13']
8246;202828.0;GENOTROPIN 16IU;Genotropin 16Iu;202828.0;IN;61148.0;somatropin;['H01AC01']
8247;1299655.0;Activa circular knit close toe unise ribbe socmedium (black);Activa Circular Knit Close Toe Unise Ribbe Socmedium Black;1299655.0;PIN;10989.0;undecylenic acid;['D01AE04']
8248;404044.0;CANESTEN HC CRM;Canesten Hc Crm;404044.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8249;1251411.0;DIPROBASE cream 50g;Diprobase Cream 50G;1251411.0;IN;272.0;activated charcoal;['A07BA01']
8251;206842.0;ISOSORBIDE MONO 20mg tablets;Isosorbide Mono 20Mg Tablets;206842.0;IN;6058.0;isosorbide dinitrate;['C01DA08', 'C05AE02']
8252;1151.0;VITAMIN C TAB 1gm;Vitamin C Tab 1Gm;1151.0;IN;1151.0;ascorbic acid;['A11GA01', 'G01AD03', 'S01XA15']
8257;29164.0;Mag Phos 6c;Mag Phos 6C;29164.0;IN;29164.0;magnesium phosphate;['B05XA10']
8264;1725079.0;MARCAIN PLAIN (10ML) INJ 0.25;Marcain Plain 10Ml Inj 0.25;1725079.0;IN;1815.0;bupivacaine;['N01BB01']
8273;153101.0;RETIN-A LOT 0.02;Retin-A Lot 0.02;153101.0;IN;10753.0;tretinoin;['D10AD01', 'L01XF01']
8275;151414.0;BECONASE aerosol - DELETED 7/96;Beconase Aerosol - Deleted 7 96;151414.0;IN;1347.0;beclomethasone;['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']
8279;1311202.0;Adhesive remover [ecolab] 3037050 (Ecolab Healthcare Division);Adhesive Remover Ecolab 3037050 Ecolab Healthcare Division;1311202.0;IN;9525.0;salicylic acid;['D01AE12', 'S01BC08']
8280;226084.0;QVAR 50 Autohaler;Qvar 50 Autohaler;226084.0;IN;1347.0;beclomethasone;['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']
8281;1299655.0;Ulti circul kni clos toe thi stock medium [SSL INT] class 2;Ulti Circul Kni Clos Toe Thi Stock Medium Ssl Int Class 2;1299655.0;PIN;10989.0;undecylenic acid;['D01AE04']
8282;8516.0;Macrogol npf 10g Powder;Macrogol Npf 10G Powder;8516.0;IN;8516.0;polyethylene glycols;['A06AD15']
8284;1370760.0;LOCOID ointment 0.1%;Locoid Ointment 0.1%;1370760.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8284;1370760.0;LOCOID ointment 0.1%;Locoid Ointment 0.1%;1370760.0;PIN;103468.0;hydrocortisone butyrate;['D07AB02']
8290;3368.0;Dienoestrol Cream;Dienoestrol Cream;3368.0;IN;3368.0;dienestrol;['G03CB01', 'G03CC02']
8292;203441.0;NALCROM capsules 100mg;Nalcrom Capsules 100Mg;203441.0;IN;42612.0;cromolyn;['A07EB01', 'D11AH03', 'R01AC01', 'R03BC01', 'S01GX01']
8293;795735.0;NUVELLE CONTINUOUS tabs;Nuvelle Continuous Tabs;795735.0;IN;591622.0;varenicline;['N07BA03', 'S01XA28']
8297;825321.0;ZOVIRAX 5%x10g crm;Zovirax 5%X10G Crm;825321.0;IN;281.0;acyclovir;['D06BB03', 'J05AB01', 'S01AD03']
8298;569499.0;EFEXOR TABS 37.5MG;Efexor Tabs 37.5Mg;569499.0;IN;39786.0;venlafaxine;['N06AX16']
8301;220372.0;Mediven Plus Class 2 Beige  Below Knee Open Toe  Size V;Mediven Plus Class 2 Beige Below Knee Open Toe Size V;220372.0;IN;9601.0;scopolamine;['A04AD01', 'N05CM05', 'S01FA02']
8305;238270.0;Sustanon 250 Injection 1 ml ampoule;Sustanon 250 Injection 1 Ml Ampoule;238270.0;IN;5464.0;hyaluronidase;['B06AA03']
8307;1996204.0;Foley catheter 10ml prefilled balloon;Foley Catheter 10Ml Prefilled Balloon;1996204.0;IN;2418.0;cholecalciferol;['A11CC05']
8313;834102.0;PENICILLIN 500MG TABS;Penicillin 500Mg Tabs;834102.0;IN;7984.0;penicillin V;['J01CE02']
8314;539712.0;Macrobid Capsules 100 mg;Macrobid Capsules 100 Mg;539712.0;IN;7454.0;nitrofurantoin;['J01XE01']
8322;541512.0;ASACOL MR tablets 400mg;Asacol Mr Tablets 400Mg;541512.0;IN;52582.0;mesalamine;['A07EC02']
8324;798304.0;DIFTAVAX vaccine;Diftavax Vaccine;798304.0;IN;798304.0;diphtheria toxoid vaccine, inactivated;['J07AF', 'J07AF01']
8326;250784.0;CURATODERM OINT 4MCG/G;Curatoderm Oint 4Mcg G;250784.0;IN;291204.0;tacalcitol;['D05AX04']
8328;1362211.0;**AQUEOUS CREAM 1/2 OF 1%HC CR;Aqueous Cream 1 2 Of 1%Hc Cr;1362211.0;IN;34347.0;pramoxine;['C05AD07', 'D04AB07']
8336;861503.0;DERMOVATE-NN cream;Dermovate-Nn Cream;861503.0;IN;2590.0;clobetasol;['D07AD01']
8337;2283518.0;Select maintenance ring set 15230 (iMEDicare Ltd);Select Maintenance Ring Set 15230 Imedicare Ltd;2283518.0;IN;2265690.0;cenobamate;['N03AX25']
8338;1085756.0;KENALOG inj 40mg/ml;Kenalog Inj 40Mg Ml;1085756.0;IN;10759.0;triamcinolone;['A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05']
8341;1801283.0;BETNOVATE 10% IN EMULSIFYING oint OIN;Betnovate 10% In Emulsifying Oint Oin;1801283.0;IN;4462.0;fluocinonide;['C05AA11', 'D07AC08']
8342;33094.0;PEPPERMINT OIL CAP E/C 0.2ML M/R;Peppermint Oil Cap E C 0.2Ml M R;33094.0;IN;33094.0;peppermint oil;['A03AX15']
8349;393427.0;*SOD PICOsulfate 5mg/5mL liq;Sod Picosulfate 5Mg 5Ml Liq;393427.0;PIN;33688.0;picosulfate sodium;['A06AB08']
8353;152061.0;MIRENA IUCD;Mirena Iucd;152061.0;IN;6373.0;levonorgestrel;['G03AC03', 'G03AD01']
8354;581662.0;FreeStyle lancets 0.5mm/25gauge (Abbott Laboratories Ltd);Freestyle Lancets 0.5Mm 25Gauge Abbott Laboratories Ltd;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
8358;6387.0;LIGNOCAINE 1% gel;Lignocaine 1% Gel;6387.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
8359;1292422.0;UNGUENTUM MERCK cream;Unguentum Merck Cream;1292422.0;IN;1292422.0;varicella-zoster virus vaccine live (Oka-Merck) strain;['J07BK01']
8364;203302.0;SUDAFED 60mg tablets;Sudafed 60Mg Tablets;203302.0;IN;8896.0;pseudoephedrine;['R01BA02']
8370;992775.0;HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Champagne (Eli Lilly and Company Ltd);Humapen Luxura Hypodermic Insulin Injection Pen Reusable For 3Ml Cartridge 1 Unit Dial Up Range 1-60 Units Champagne Eli Lilly And Company Ltd;992775.0;IN;6932.0;miconazole;['A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13']
8371;105071.0;Nicorette Chewing Gum Original, 4 mg;Nicorette Chewing Gum Original 4 Mg;105071.0;IN;7407.0;nicotine;['N07BA01']
8372;202972.0;VERMOX 100mg tablets;Vermox 100Mg Tablets;202972.0;IN;6672.0;mebendazole;['P02CA01']
8374;891522.0;ZYDOL caps 50 mg;Zydol Caps 50 Mg;891522.0;IN;10454.0;thiamine;['A11DA01']
8377;834061.0;PENICILLIN TAB 250mg;Penicillin Tab 250Mg;834061.0;IN;7984.0;penicillin V;['J01CE02']
8384;833164.0;SPORANOX PULSE capsules 100mg;Sporanox Pulse Capsules 100Mg;833164.0;IN;28031.0;itraconazole;['J02AC02']
8394;562108.0;Sodium cromoglicate 2 % eye drops;Sodium Cromoglicate 2 % Eye Drops;562108.0;IN;42612.0;cromolyn;['A07EB01', 'D11AH03', 'R01AC01', 'R03BC01', 'S01GX01']
8395;1242611.0;MYOCRISIN INJECTION 10MG/0.5ML;Myocrisin Injection 10Mg 0.5Ml;1242611.0;IN;6064.0;isotretinoin;['D10AD04', 'D10BA01']
8402;104701.0;VALIUM INJ 10mg;Valium Inj 10Mg;104701.0;IN;3322.0;diazepam;['N05BA01']
8404;208813.0;SOFRADEX EYE/EAR DROPS 10ML;Sofradex Eye Ear Drops 10Ml;208813.0;IN;10627.0;tobramycin;['J01GB01', 'S01AA12']
8405;1053330.0;Spacer/Holding Chamber Device + large mask adults;Spacer Holding Chamber Device + Large Mask Adults;1053330.0;IN;10223.0;sulfur;['D10AB02']
8407;1041498.0;Solpadeine Capsule (GlaxoSmithKline Consumer Healthcare);Solpadeine Capsule Glaxosmithkline Consumer Healthcare;1041498.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
8408;207353.0;minocin 50mg;Minocin 50Mg;207353.0;IN;6980.0;minocycline;['A01AB23', 'D10AF07', 'J01AA08']
8409;202508.0;NITRO LINGUAL SPRAY;Nitro Lingual Spray;202508.0;IN;4917.0;nitroglycerin;['C01DA02', 'C05AE01']
8411;707571.0;FERROGRAD 325mg Filmtabs;Ferrograd 325Mg Filmtabs;707571.0;IN;11248.0;vitamin B12;['B03BA01']
8416;1187868.0;VENTOLIN INH 100MCG/INH;Ventolin Inh 100Mcg Inh;1187868.0;IN;435.0;albuterol;['R03AC02', 'R03CC02']
8419;151363.0;ANUSOL crm;Anusol Crm;151363.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8423;313142.0;Sulphasalazine enteric coated tablets 500mg;Sulphasalazine Enteric Coated Tablets 500Mg;313142.0;IN;9524.0;sulfasalazine;['A07EC01']
8424;581662.0;Softclix lancets 0.4mm/28gauge (Roche Diagnostics Ltd);Softclix Lancets 0.4Mm 28Gauge Roche Diagnostics Ltd;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
8426;59768.0;PREGADAY;Pregaday;59768.0;IN;59768.0;pegademase bovine;['L03AX04']
8427;1190916.0;Mengivac vaccine -;Mengivac Vaccine -;1190916.0;IN;798304.0;diphtheria toxoid vaccine, inactivated;['J07AF', 'J07AF01']
8430;202886.0;DEPO-PROVERA 150mg/1mL injection;Depo-Provera 150Mg 1Ml Injection;202886.0;IN;6691.0;medroxyprogesterone;['G03AC06', 'G03DA02', 'L02AB02']
8434;861472.0;DERMOVATE-NN 0.05% ointment 30g;Dermovate-Nn 0.05% Ointment 30G;861472.0;IN;2590.0;clobetasol;['D07AD01']
8442;2168083.0;KENALOG INJ 80;Kenalog Inj 80;2168083.0;IN;10759.0;triamcinolone;['A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05']
8453;226084.0;BECLAZONE EASI-BREATHE breath actuated inhaler 250micrograms;Beclazone Easi-Breathe Breath Actuated Inhaler 250Micrograms;226084.0;IN;1347.0;beclomethasone;['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']
8456;892560.0;FEMOSTON CONTI tablets 1mg + 5mg;Femoston Conti Tablets 1Mg + 5Mg;892560.0;IN;7052.0;morphine;['N02AA01']
8458;562600.0;Dermatix Clear sheet 20cm x 30cm rectangular (Meda Pharma...;Dermatix Clear Sheet 20Cm X 30Cm Rectangular Meda Pharma...;562600.0;IN;9525.0;salicylic acid;['D01AE12', 'S01BC08']
8460;1299655.0;Sch Soft circ kni clo toe bel kne stoc medium [SSL] Class 2;Sch Soft Circ Kni Clo Toe Bel Kne Stoc Medium Ssl Class 2;1299655.0;PIN;10989.0;undecylenic acid;['D01AE04']
8464;1012204.0;LIDOCAIN HCl + CETALKONIU CHLORID oromucos gel 0.33% + 0.01%;Lidocain Hcl + Cetalkoniu Chlorid Oromucos Gel 0.33% + 0.01%;1012204.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
8467;5653.0;IDURIDIN + APPLICATOR 5 % SOL;Iduridin + Applicator 5 % Sol;5653.0;IN;5653.0;idoxuridine;['D06BB01', 'J05AB02', 'S01AD01']
8469;6837.0;Becotide Inhaler 100 microg/met unit;Becotide Inhaler 100 Microg Met Unit;6837.0;IN;6837.0;methionine;['V03AB26']
8471;797544.0;RITE-DIET CRISPBREAD;Rite-Diet Crispbread;797544.0;IN;797541.0;isopropyl alcohol;['D08AX05']
8472;7980.0;ENER-G TAGLIATELLE;Ener-G Tagliatelle;7980.0;IN;7980.0;penicillin G;['J01CE01', 'S01AA14']
8474;1797917.0;BECONASE aqueous nasal spray 50mcg/actuation;Beconase Aqueous Nasal Spray 50Mcg Actuation;1797917.0;IN;1347.0;beclomethasone;['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']
8477;151363.0;Anusol hc Ointment 15 g;Anusol Hc Ointment 15 G;151363.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8478;2611703.0;SOFTCLIX II 0.8mm(21ga) lancet;Softclix Ii 0.8Mm 21Ga Lancet;2611703.0;IN;1999003.0;angiotensin II;['C01CX09']
8485;542304.0;Histoacryl L skin adhesive (B.Braun Medical Ltd);Histoacryl L Skin Adhesive B.Braun Medical Ltd;542304.0;IN;7806.0;oxygen;['V03AN01']
8486;151363.0;Anusol HC Ung 30G;Anusol Hc Ung 30G;151363.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8488;307746.0;Gaviscon advance sugar free oral suspension 1000mg + 200mg;Gaviscon Advance Sugar Free Oral Suspension 1000Mg + 200Mg;307746.0;IN;612.0;aluminum hydroxide;['A02AB01']
8490;221099.0;Metrodin high purity injection 75 iu/ampoule;Metrodin High Purity Injection 75 Iu Ampoule;221099.0;IN;4249.0;factor IX;['B02BD04']
8493;798304.0;Mastaflu vaccine -;Mastaflu Vaccine -;798304.0;IN;798304.0;diphtheria toxoid vaccine, inactivated;['J07AF', 'J07AF01']
8497;202985.0;Capasal shampoo -;Capasal Shampoo -;202985.0;IN;78903.0;capreomycin;['J04AB30']
8498;152056.0;COLOFAC MR modified release capsule 200mg;Colofac Mr Modified Release Capsule 200Mg;152056.0;IN;6980.0;minocycline;['A01AB23', 'D10AF07', 'J01AA08']
8499;1946525.0;FEMATRIX 40 patch 40mcg/24 hours (1.25mg/unit);Fematrix 40 Patch 40Mcg 24 Hours 1.25Mg Unit;1946525.0;IN;10689.0;tramadol;['N02AX02']
8502;581662.0;Nelaton catheter male 10Ch ZT01007182 (Unomedical Ltd);Nelaton Catheter Male 10Ch Zt01007182 Unomedical Ltd;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
8504;1305100.0;INSTILLAGEL gel 2% w/v [11ml syringe];Instillagel Gel 2% W V 11Ml Syringe;1305100.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
8507;1125493.0;SULEO -C LOTION 0.5 %W/W;Suleo -C Lotion 0.5 %W W;1125493.0;IN;1992.0;capsaicin;['M02AB01', 'N01BX04']
8509;830847.0;ADIZEM-XL CAP 180;Adizem-Xl Cap 180;830847.0;IN;3443.0;diltiazem;['C05AE03', 'C08DB01']
8510;1099279.0;DOCUSATE SODIUM tabs 100 mg - DELETED 4/96;Docusate Sodium Tabs 100 Mg - Deleted 4 96;1099279.0;PIN;71722.0;docusate sodium;['A06AA02']
8521;797544.0;Boots Multivitamin One A Day tablets (The Boots Company Plc);Boots Multivitamin One A Day Tablets The Boots Company Plc;797544.0;IN;797541.0;isopropyl alcohol;['D08AX05']
8524;581660.0;Swalloweze Clear Instant Food & Fluid Thickener powder (N...;Swalloweze Clear Instant Food & Fluid Thickener Powder N...;581660.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
8525;226084.0;BECLAZONE 50MCG INH;Beclazone 50Mcg Inh;226084.0;IN;1347.0;beclomethasone;['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']
8527;351068.0;ORTHO DIENOESTROL VAGINAL CRM 0.01%W/W[g + appl;Ortho Dienoestrol Vaginal Crm 0.01%W W G + Appl;351068.0;IN;3368.0;dienestrol;['G03CB01', 'G03CC02']
8535;203302.0;SUDAFED PLUS tabs;Sudafed Plus Tabs;203302.0;IN;8896.0;pseudoephedrine;['R01BA02']
8536;215431.0;Suportx male low waist girdle medium SPX128 Black (AMI Me...;Suportx Male Low Waist Girdle Medium Spx128 Black Ami Me...;215431.0;IN;1191.0;aspirin;['A01AD05', 'B01AC06', 'N02BA01']
8543;1185826.0;PREGNYL injection 1500 iu/ampoule;Pregnyl Injection 1500 Iu Ampoule;1185826.0;IN;4986.0;chorionic gonadotropin;['G03GA01']
8549;1093059.0;CLOMIPHENE CITRATE tabs 50 MG;Clomiphene Citrate Tabs 50 Mg;1093059.0;IN;2596.0;clomiphene;['G03GB02']
8551;754890.0;Anodesyn Ung 25G;Anodesyn Ung 25G;754890.0;IN;99.0;6-aminocaproic acid;['B02AA01']
8554;104375.0;Zestril Tablets 2.5 mg;Zestril Tablets 2.5 Mg;104375.0;IN;29046.0;lisinopril;['C09AA03']
8558;351068.0;DIENOESTROL cream 0.025% - DELETED 3/97;Dienoestrol Cream 0.025% - Deleted 3 97;351068.0;IN;3368.0;dienestrol;['G03CB01', 'G03CC02']
8560;891522.0;OILATUM EMOLIENT   3 CAPS;Oilatum Emolient 3 Caps;891522.0;IN;10454.0;thiamine;['A11DA01']
8567;1432120.0;Zindaclin Gel 1 %;Zindaclin Gel 1 %;1432120.0;IN;2582.0;clindamycin;['D10AF01', 'G01AA10', 'J01FF01']
8569;1085749.0;TRIAMCINOLO ACETONI intraderm injecti 10mg/ml;Triamcinolo Acetoni Intraderm Injecti 10Mg Ml;1085749.0;IN;10759.0;triamcinolone;['A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05']
8576;206978.0;Nizoral Shampoo 2 %;Nizoral Shampoo 2 %;206978.0;IN;6135.0;ketoconazole;['D01AC08', 'G01AF11', 'H02CA03', 'J02AB02']
8577;1299655.0;Sch Soft Cla 2 nat circ kni clo toe thi stoc large [SSL INT];Sch Soft Cla 2 Nat Circ Kni Clo Toe Thi Stoc Large Ssl Int;1299655.0;PIN;10989.0;undecylenic acid;['D01AE04']
8580;317423.0;METHYLDOPA TABS 125MG;Methyldopa Tabs 125Mg;317423.0;IN;6876.0;methyldopa;['C02AB01']
8581;891522.0;prothiaden caps 100mg;Prothiaden Caps 100Mg;891522.0;IN;10454.0;thiamine;['A11DA01']
8585;152056.0;Minocin MR Capsule 100 mg;Minocin Mr Capsule 100 Mg;152056.0;IN;6980.0;minocycline;['A01AB23', 'D10AF07', 'J01AA08']
8586;198232.0;Sulphasalazine Tablets 500 mg;Sulphasalazine Tablets 500 Mg;198232.0;IN;9524.0;sulfasalazine;['A07EC01']
8588;1311202.0;SUTURE MERSILK 2/45CM SUPER CURVED;Suture Mersilk 2 45Cm Super Curved;1311202.0;IN;9525.0;salicylic acid;['D01AE12', 'S01BC08']
8592;310587.0;GONADOTRAPHON LH INJECTION 5000 UNITS/AMPOULE;Gonadotraphon Lh Injection 5000 Units Ampoule;310587.0;IN;4986.0;chorionic gonadotropin;['G03GA01']
8593;1114333.0;Nebuhaler  Spacer Device;Nebuhaler Spacer Device;1114333.0;IN;1114326.0;indacaterol;['R03AC18']
8594;1735487.0;Lyclear Cream Rinse;Lyclear Cream Rinse;1735487.0;IN;21254.0;chlophedianol;['R05DB10']
8598;4511.0;*FERROCONTIN FOLIC CONT;Ferrocontin Folic Cont;4511.0;IN;4511.0;folic acid;['B03BB01', 'V04CX02']
8605;797730.0;FLANGE SURGICARE SYSTEM 1 STOMAHESIVE;Flange Surgicare System 1 Stomahesive;797730.0;IN;8611.0;povidone-iodine;['D08AG02', 'D09AA09', 'D11AC06', 'G01AX11', 'R02AA15', 'S01AX18']
8606;1660016.0;ADRENALINE HCl inj 1mg/1ml (1:1000);Adrenaline Hcl Inj 1Mg 1Ml 1:1000;1660016.0;IN;3992.0;epinephrine;['A01AD01', 'B02BC09', 'C01CA24', 'R01AA14', 'R03AA01', 'S01EA01']
8610;2367800.0;Ensure Plus 200ml Liquid (Abbott Nutrition);Ensure Plus 200Ml Liquid Abbott Nutrition;2367800.0;IN;1399.0;benzocaine;['C05AD03', 'D04AB04', 'N01BA05', 'R02AD01']
8614;1923428.0;TIMOPTOL 0.25% eye drops 5mL;Timoptol 0.25% Eye Drops 5Ml;1923428.0;IN;10600.0;timolol;['C07AA06', 'S01ED01']
8620;1242404.0;Nifensar xl Tablets 20 mg;Nifensar Xl Tablets 20 Mg;1242404.0;IN;49276.0;doxazosin;['C02CA04']
8623;808921.0;Fybogel Granules 3.5 g(plain);Fybogel Granules 3.5 G Plain;808921.0;IN;4550.0;fosfomycin;['J01XX01', 'S02AA17']
8625;746962.0;CANESTEN Combipak  (1 vag tab / 20 mg cream);Canesten Combipak 1 Vag Tab 20 Mg Cream;746962.0;IN;10600.0;timolol;['C07AA06', 'S01ED01']
8626;215502.0;Compression hosiery class II anklet flatbed knit standard stock size;Compression Hosiery Class Ii Anklet Flatbed Knit Standard Stock Size;215502.0;IN;8120.0;phenazopyridine;['G04BX06']
8627;151414.0;BECOTIDE 200microgram rotacaps;Becotide 200Microgram Rotacaps;151414.0;IN;1347.0;beclomethasone;['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']
8629;305064.0;Salactol Paint (10ml);Salactol Paint 10Ml;305064.0;IN;33290.0;phenol;['C05BB05', 'D08AE03', 'N01BX03', 'R02AA19']
8636;332412.0;CELIPROLOL 200mg tablets;Celiprolol 200Mg Tablets;332412.0;IN;20498.0;celiprolol;['C07AB08']
8638;581662.0;Thin lancets 0.36mm/28gauge (Abbott Laboratories Ltd);Thin Lancets 0.36Mm 28Gauge Abbott Laboratories Ltd;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
8644;1291987.0;EVOREL PAK treatment pack;Evorel Pak Treatment Pack;1291987.0;IN;21212.0;clarithromycin;['J01FA09']
8648;543489.0;Evorel Pak (Janssen-Cilag Ltd);Evorel Pak Janssen-Cilag Ltd;543489.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8649;2272623.0;Softswab non-woven fabric swab 4ply non-sterile 10cm x 10...;Softswab Non-Woven Fabric Swab 4Ply Non-Sterile 10Cm X 10...;2272623.0;IN;3322.0;diazepam;['N05BA01']
8659;283294.0;VITAMIN C TAB 200;Vitamin C Tab 200;283294.0;IN;1151.0;ascorbic acid;['A11GA01', 'G01AD03', 'S01XA15']
8660;312124.0;"EST + (EST + NORETHIS ACE - TWI WEE pat 50mcg;50+170mcg/24hr";"Est + Est + Norethis Ace - Twi Wee Pat 50Mcg;50+170Mcg 24Hr";312124.0;IN;4124.0;ethinyl estradiol;['G03CA01', 'L02AA03']
8660;312124.0;"EST + (EST + NORETHIS ACE - TWI WEE pat 50mcg;50+170mcg/24hr";"Est + Est + Norethis Ace - Twi Wee Pat 50Mcg;50+170Mcg 24Hr";312124.0;MIN;384410.0;ethinyl estradiol / norethindrone;['G03AA05', 'G03AB04']
8673;1093073.0;CLOMID tabs 50 mg;Clomid Tabs 50 Mg;1093073.0;IN;2596.0;clomiphene;['G03GB02']
8676;202645.0;GPPE EAR/EYE OINT NEO-CORTEF 1.5%;Gppe Ear Eye Oint Neo-Cortef 1.5%;202645.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
8681;202886.0;DEPO-PROVERA inj 150mg/ml;Depo-Provera Inj 150Mg Ml;202886.0;IN;6691.0;medroxyprogesterone;['G03AC06', 'G03DA02', 'L02AB02']
8682;562655.0;BECLOMETH DIPROP NSL SPY 50MCG (200DOSE);Beclometh Diprop Nsl Spy 50Mcg 200Dose;562655.0;IN;1347.0;beclomethasone;['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']
8691;1359109.0;ARTHROTEC 75 tablets;Arthrotec 75 Tablets;1359109.0;IN;3355.0;diclofenac;['D11AX18', 'M01AB05', 'M02AA15', 'S01BC03']
8695;631504.0;IRRICLENS sterile soln 0.9%;Irriclens Sterile Soln 0.9%;631504.0;IN;9863.0;sodium chloride;['A12CA01', 'B05CB01', 'B05XA03']
8700;685543.0;KLARICID XL modified release tablet 500mg;Klaricid Xl Modified Release Tablet 500Mg;685543.0;IN;21212.0;clarithromycin;['J01FA09']
