original_rxcui,variable,rxcui,name
216161,IN,4083,estradiol
1010915,IN,1010915,chocolate allergenic extract
281964,IN,10324,tamoxifen
1094022,IN,1897,calcium carbonate
992487,IN,1418,benzoyl peroxide
212306,IN,2231,cephalexin
1191313,IN,25126,fluocinolone
212342,IN,11251,vitamin B complex
216827,IN,47686,carbamide peroxide
756,IN,2597,clomipramine
1426916,IN,1426916,Trichinella spiralis
607044,IN,484348,omega-3 acid ethyl esters (USP)
2530131,IN,2530131,.alpha.-phellandrene
862453,IN,862453,barley allergenic extract
2288431,IN,2288236,ozanimod
882533,IN,2582,clindamycin
226917,IN,37925,orlistat
617322,IN,48203,clavulanate
486895,IN,486895,magnesium amino acid chelate
1657669,IN,797752,hepatitis B surface antigen vaccine
805456,IN,805452,romiplostim
8723,IN,8723,proflavine
1363043,IN,1363043,ethyl ether
5645,IN,5645,ichthammol
1173084,IN,9873,sodium fluoride
998483,IN,6932,miconazole
52147,IN,5492,hydrocortisone
389239,IN,11256,vitamin E
1190916,IN,798304,"diphtheria toxoid vaccine, inactivated"
2267310,IN,2837,copper
202562,IN,1418,benzoyl peroxide
104369,IN,49276,doxazosin
1098351,IN,6750,menthol
2360918,IN,448,ethanol
691395,IN,59087,Eucalyptus oil
580119,IN,580119,stinging nettle extract
1995546,IN,1995537,voretigene neparvovec
1041780,IN,448,ethanol
152867,IN,4256,factor VIIa
1151,IN,1151,ascorbic acid
5975,IN,5975,ipecac
3390,IN,3390,diethylstilbestrol
20610,IN,20610,cetirizine
1368451,IN,1368451,glycerol phenylbutyrate
1735487,IN,21254,chlophedianol
2626475,IN,2626471,allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen
1009069,IN,4099,"estrogens, conjugated (USP)"
1364917,IN,155060,pyroglutamate
1293285,IN,324072,dimethicone
153767,IN,2382,proguanil
1484973,IN,1484973,black alder pollen extract
1310122,IN,1310122,chlorine
153095,IN,4832,glucagon
226990,IN,33303,phenothrin
1427085,IN,1427085,pepper extract
1737568,IN,6387,lidocaine
692962,IN,6406,lipase
9789,IN,9789,silver nitrate
4191,IN,4191,Evans blue
867494,IN,1897,calcium carbonate
200036,IN,2623,clotrimazole
727704,IN,327361,adalimumab
1235391,IN,5509,hydroquinone
825170,IN,327361,adalimumab
358615,IN,1605101,insulin isophane
2597529,IN,6387,lidocaine
103956,IN,598,alprostadil
1045424,IN,1390,benzethonium
153189,IN,797752,hepatitis B surface antigen vaccine
208601,IN,3264,dexamethasone
852062,IN,852062,tobacco leaf allergenic extract
1098199,IN,1378,benzalkonium
1146108,IN,6750,menthol
1721299,IN,1721299,aconitate
135118,IN,214824,sevelamer
1299812,IN,1897,calcium carbonate
205495,IN,873,anthralin
83373,IN,41126,fluticasone
26849,IN,26849,hexamidine
209884,IN,39952,zinc pyrithione
6805,IN,6805,metaraminol
373133,IN,7597,nystatin
352663,IN,9796,simethicone
1544933,IN,1544933,Bartonella henselae
861377,IN,214824,sevelamer
1293874,IN,20877,chloroxylenol
1008837,IN,797752,hepatitis B surface antigen vaccine
2200121,IN,3498,diphenhydramine
866354,IN,1426,benzyl alcohol
901011,IN,901011,post oak pollen extract
152535,IN,281,acyclovir
1098348,IN,6750,menthol
313713,IN,11256,vitamin E
151944,IN,8928,psyllium
1094104,IN,8120,phenazopyridine
1432992,IN,1432992,Vibrio cholerae
1367141,IN,1367141,povidone K25
1432794,IN,1432794,oxytropis lambertii top extract
313414,IN,10627,tobramycin
283568,IN,283568,guggul lipids
151720,IN,4083,estradiol
605674,IN,6227,lanolin
762599,IN,762595,Salmonella typhi Ty21a live antigen
2583650,IN,2583637,tick-borne encephalitis purified antigen
727341,IN,3992,epinephrine
1172692,IN,253182,"insulin, regular, human"
1299656,IN,314881,undecylenate
904433,IN,46041,alendronate
996559,IN,61148,somatropin
47686,IN,47686,carbamide peroxide
24941,IN,24941,ferrous fumarate
1311265,IN,1311265,Lytta vesicatoria preparation
784,IN,784,androstenedione
224932,IN,8091,petrolatum
311034,IN,253182,"insulin, regular, human"
33746,IN,8340,piperazine
1658058,IN,798361,hepatitis A vaccine (inactivated) strain HM175
1177367,IN,3992,epinephrine
227312,IN,325514,indigotindisulfonate
1363569,IN,1363569,dimethicone 350
207894,IN,21766,crotamiton
805372,IN,10753,tretinoin
2200118,IN,3498,diphenhydramine
998533,IN,6932,miconazole
6313,IN,6313,leucovorin
1049179,IN,161,acetaminophen
2108561,IN,11295,water
296,IN,296,adenosine
1150121,IN,3992,epinephrine
308907,IN,1897,calcium carbonate
199413,IN,281,acyclovir
313415,IN,10627,tobramycin
305064,IN,33290,phenol
1797930,IN,19831,budesonide
688242,IN,4099,"estrogens, conjugated (USP)"
594822,IN,4491,fluorometholone
41656,IN,221147,polyethylene glycol 3350
825161,IN,26744,hepatitis B immune globulin
32009,IN,32009,normethadone
749880,IN,4124,ethinyl estradiol
314725,IN,314725,meningococcal polysaccharide vaccine group Y
245628,IN,2635,coal tar
798451,IN,798444,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine
664981,IN,6227,lanolin
1488308,IN,1047072,moxidectin
1306063,IN,1306063,zinc glycinate
24698,IN,24698,fludarabine
2280755,IN,1657128,influenza A virus (H1N1) antigen
220917,IN,1886,caffeine
1667648,IN,1314612,altrenogest
261542,IN,314684,"insulin lispro protamine, human"
2619331,IN,1952,camphor
210604,IN,8345,piperonyl butoxide
836368,IN,7213,ipratropium
966907,IN,236646,"insulin, protamine zinc, human"
1546450,IN,1546450,radium
2107522,IN,1670007,insulin degludec
245265,IN,1605101,insulin isophane
966522,IN,19831,budesonide
630194,IN,9873,sodium fluoride
2533848,IN,2533848,Consolida regalis flower extract
855659,IN,3355,diclofenac
476707,IN,27291,hydroxypropylcellulose
377844,IN,11423,zinc oxide
247047,IN,19831,budesonide
1039708,IN,448,ethanol
800553,IN,8737,proline
749187,IN,684879,pyridoxine
216731,IN,29365,calcipotriene
1792327,IN,2418,cholecalciferol
2627282,IN,11002,urea
1426454,IN,1426454,immunoglobulin A
8783,IN,8783,propolis
1314635,IN,10454,thiamine
249596,IN,1514,betamethasone
207864,IN,21766,crotamiton
384876,IN,142407,calcium ascorbate
197574,IN,3255,desoximetasone
197409,IN,1514,betamethasone
8737,IN,8737,proline
1351897,IN,1351897,Parietaria officinalis extract
1486566,IN,9873,sodium fluoride
320494,IN,134568,bentoquatam
1092413,IN,3498,diphenhydramine
1544873,IN,3289,dextromethorphan
1044444,IN,32987,pectin
9603,IN,9601,scopolamine
1358891,IN,1358891,Thuja occidentalis whole extract
905070,IN,905070,Acremonium strictum allergenic extract
835894,IN,3008,cyclosporine
809441,IN,53750,nonoxynol-9
7597,IN,7597,nystatin
210180,IN,10223,sulfur
104368,IN,49276,doxazosin
106302,IN,10753,tretinoin
197594,IN,3353,dichlorphenamide
202770,IN,9524,sulfasalazine
10169,IN,10169,sulfacetamide
1099038,IN,9873,sodium fluoride
692849,IN,10637,tolnaftate
1996983,IN,1996983,white sweetclover top extract
203457,IN,3498,diphenhydramine
1492747,IN,1492727,apremilast
1728800,IN,7052,morphine
2266759,IN,6227,lanolin
78903,IN,78903,capreomycin
1734642,IN,1734628,elbasvir
1608499,IN,3992,epinephrine
106219,IN,21766,crotamiton
262237,IN,262150,iron carbonyl
2380867,IN,8611,povidone-iodine
310170,IN,4083,estradiol
1314626,IN,10454,thiamine
763098,IN,763098,"poliovirus vaccine inactivated, type 2 (MEF-1)"
474128,IN,474128,telbivudine
206423,IN,2191,ceftazidime
1010238,IN,10169,sulfacetamide
808520,IN,797541,isopropyl alcohol
866214,IN,11423,zinc oxide
705936,IN,10637,tolnaftate
197662,IN,4099,"estrogens, conjugated (USP)"
802556,IN,1399,benzocaine
1944524,IN,448,ethanol
1311171,IN,1311171,D & C green 5
543489,IN,5492,hydrocortisone
2171268,IN,2171268,cocoa shell extract
313192,IN,10323,talc
891633,IN,891633,hazelnut allergenic extract
1049667,IN,8896,pseudoephedrine
4129,IN,4129,ethisterone
323984,IN,4083,estradiol
226898,IN,55175,propiverine
1368196,IN,1368196,hard fat
1793025,IN,9525,salicylic acid
1372739,IN,29170,magnesium trisilicate
206791,IN,52582,mesalamine
11248,IN,11248,vitamin B12
32485,IN,1399,benzocaine
376567,IN,29787,methyl salicylate
1797932,IN,41126,fluticasone
99,IN,99,6-aminocaproic acid
285149,IN,285149,banana extract
582595,IN,40138,iloprost
213694,IN,281,acyclovir
1859502,IN,56443,sodium acetate
848330,IN,4083,estradiol
544854,IN,46241,aluminum chloride
1992281,IN,2590,clobetasol
261178,IN,7597,nystatin
2101427,IN,2101422,Mucor circinelloides f. circinelloides allergenic extract
204918,IN,11295,water
1736009,IN,6373,levonorgestrel
373267,IN,7984,penicillin V
1039214,IN,38609,triclocarban
1246306,IN,19831,budesonide
1547580,IN,854930,Streptococcus pneumoniae type 1 capsular polysaccharide antigen
826131,IN,8152,phentermine
8638,IN,8638,prednisolone
1797880,IN,28656,nafarelin
1044932,IN,324072,dimethicone
2597539,IN,1992,capsaicin
377663,IN,2635,coal tar
206792,IN,52151,lodoxamide
1365694,IN,8160,phenylbutazone
217503,IN,21389,cocoa butter
151525,IN,2596,clomiphene
202999,IN,4719,gemfibrozil
1053346,IN,6585,magnesium sulfate
562724,IN,386938,follitropin alfa
1183891,IN,598,alprostadil
204182,IN,7247,naphazoline
10829,IN,10829,trimethoprim
215453,IN,18603,azelastine
1309723,IN,1309723,Inula helenium root extract
1490056,IN,3992,epinephrine
104441,IN,67187,oxerutins
213998,IN,519,allopurinol
2590770,IN,2358,chlorhexidine
2177495,IN,1657128,influenza A virus (H1N1) antigen
1360633,IN,616739,rotigotine
1311253,IN,1311253,Sus scrofa lymph preparation
207106,IN,4450,fluconazole
880853,IN,8928,psyllium
801663,IN,2418,cholecalciferol
374307,IN,11246,vitamin A
2056064,IN,32987,pectin
1092658,IN,1418,benzoyl peroxide
5640,IN,5640,ibuprofen
1946525,IN,10689,tramadol
108780,IN,73645,valacyclovir
1245271,IN,25120,flunisolide
1010671,IN,6387,lidocaine
152061,IN,6373,levonorgestrel
798154,IN,19698,brilliant green
103943,IN,2551,ciprofloxacin
135095,IN,1191,aspirin
1298448,IN,47461,butenafine
1741747,IN,1667655,cariprazine
1101446,IN,3642,doxylamine
202828,IN,61148,somatropin
206842,IN,6058,isosorbide dinitrate
29164,IN,29164,magnesium phosphate
1725079,IN,1815,bupivacaine
260012,IN,260012,salicin extract
153101,IN,10753,tretinoin
27244,IN,27244,hydroxyethyl cellulose
9771,IN,9771,silicon dioxide
283682,IN,283682,Pulsatilla pratensis extract
3368,IN,3368,dienestrol
203441,IN,42612,cromolyn
800238,IN,10524,threonine
569499,IN,39786,venlafaxine
18235,IN,18235,peanut oil
541512,IN,52582,mesalamine
250784,IN,291204,tacalcitol
1362211,IN,34347,pramoxine
393427,IN,1546458,picosulfurate
1242611,IN,6064,isotretinoin
104701,IN,3322,diazepam
207353,IN,6980,minocycline
707571,IN,11248,vitamin B12
804187,IN,804187,yellow fever virus strain 17D-204 live antigen
562600,IN,9525,salicylic acid
1012204,IN,6387,lidocaine
19478,IN,19478,bismuth subsalicylate
221099,IN,4249,factor IX
1099279,IN,82003,docusate
142029,IN,2635,coal tar
1428876,IN,1428876,Petasites fragrans extract
1185826,IN,4986,chorionic gonadotropin
1311063,IN,1311063,giant puffball extract
1309676,IN,1309676,Bryonia alba root extract
754890,IN,99,6-aminocaproic acid
104375,IN,29046,lisinopril
1432120,IN,2582,clindamycin
1085749,IN,10759,triamcinolone
317423,IN,6876,methyldopa
310587,IN,4986,chorionic gonadotropin
1114333,IN,1114326,indacaterol
4511,IN,4511,folic acid
618555,IN,113608,fusidate
797730,IN,8611,povidone-iodine
1045489,IN,8091,petrolatum
162592,IN,162592,diethylamine salicylate
746962,IN,10600,timolol
1858075,IN,1858075,perlite
332412,IN,20498,celiprolol
312124,IN,4124,ethinyl estradiol
1372555,IN,1952,camphor
685543,IN,21212,clarithromycin
884709,IN,4083,estradiol
402096,IN,358263,tadalafil
861448,IN,2590,clobetasol
891502,IN,891502,arabica coffee bean allergenic extract
1809076,IN,5666,immunoglobulin G
646333,IN,1992,capsaicin
17767,IN,17767,amlodipine
333408,IN,10825,trimeprazine
852106,IN,852106,alkali blite pollen extract
899724,IN,899724,clove allergenic extract
217717,IN,6468,loperamide
151889,IN,6468,loperamide
252062,IN,4910,glycerin
251454,IN,161,acetaminophen
977842,IN,352385,"insulin aspart protamine, human"
2166591,IN,2166591,domestic cow dander extract
404640,IN,89785,methscopolamine
1295932,IN,10030,stannous fluoride
118886,IN,118886,verteporfin
200066,IN,6750,menthol
1309726,IN,1309726,polylactic acid-polyglycolic acid copolymer
245660,IN,11423,zinc oxide
754508,IN,358255,aprepitant
1087964,IN,5542,17-alpha-hydroxyprogesterone
6873,IN,6873,methylcellulose
142024,IN,21766,crotamiton
1595307,IN,1886,caffeine
207791,IN,7454,nitrofurantoin
749787,IN,4124,ethinyl estradiol
27334,IN,27334,hypromellose
1651313,IN,400008,"insulin glulisine, human"
1494203,IN,11423,zinc oxide
235600,IN,798304,"diphtheria toxoid vaccine, inactivated"
210756,IN,52358,magnesium gluconate
1305735,IN,11423,zinc oxide
656809,IN,9873,sodium fluoride
884528,IN,3288,dextroamphetamine
807273,IN,798304,"diphtheria toxoid vaccine, inactivated"
1246675,IN,6205,Lactobacillus acidophilus
21009,IN,21009,chromic chloride
1372004,IN,1372004,mint extract
5497,IN,5497,hydrogen
1177118,IN,1347,beclomethasone
637366,IN,637366,wheat dextrin
250672,IN,9724,carbaryl
348689,IN,11248,vitamin B12
1811182,IN,1304974,icosapent ethyl
1311373,IN,1311373,trehalose
646455,IN,7597,nystatin
372643,IN,28889,loratadine
1168489,IN,52151,lodoxamide
104420,IN,4316,felodipine
798425,IN,797752,hepatitis B surface antigen vaccine
315971,IN,4603,furosemide
1923432,IN,10600,timolol
1292435,IN,1292422,varicella-zoster virus vaccine live (Oka-Merck) strain
1007589,IN,798304,"diphtheria toxoid vaccine, inactivated"
448,IN,448,ethanol
309381,IN,2635,coal tar
204298,IN,632,mitomycin
1085920,IN,1390,benzethonium
833741,IN,1897,calcium carbonate
708076,IN,1399,benzocaine
309113,IN,2231,cephalexin
205530,IN,3254,desonide
905164,IN,32385,olsalazine
1310235,IN,1310235,Spigelia anthelmia preparation
1796449,IN,38298,tioconazole
992457,IN,8745,promethazine
318272,IN,1191,aspirin
1296325,IN,1399,benzocaine
403825,IN,35636,risperidone
762869,IN,52364,magnesium salicylate
1603859,IN,1603859,N-caproylsphingosine
429212,IN,2626,clozapine
2180338,IN,1657131,influenza A virus (H3N2) antigen
803371,IN,797752,hepatitis B surface antigen vaccine
1492940,IN,2571857,florbetaben
200318,IN,9949,soybean oil
701984,IN,6972,mineral oil
753110,IN,67109,dalteparin
352618,IN,153970,hyoscyamine
206878,IN,5640,ibuprofen
202826,IN,28031,itraconazole
1720165,IN,4257,factor VIII
753990,IN,227518,follicle stimulating hormone
10989,IN,314881,undecylenate
1737852,IN,6878,methylene blue
11115,IN,11115,valine
152523,IN,9143,ranitidine
1043690,IN,5492,hydrocortisone
991004,IN,9873,sodium fluoride
331019,IN,17627,alverine
11246,IN,11246,vitamin A
1648419,IN,1648419,rabies virus
353067,IN,8120,phenazopyridine
371532,IN,2556,citalopram
202877,IN,10759,triamcinolone
1041849,IN,448,ethanol
2117332,IN,2117332,Delphinium staphisagria whole extract
211887,IN,1191,aspirin
1053429,IN,11295,water
1427192,IN,1427193,diethyldithiocarbamate
422997,IN,9525,salicylic acid
1998841,IN,1998841,lotilaner
152697,IN,41493,meloxicam
1005856,IN,10169,sulfacetamide
235618,IN,235618,mold extract
204499,IN,3390,diethylstilbestrol
902306,IN,5933,iodine
2378,IN,2378,chlorobutanol
993345,IN,4325,fenbendazole
901299,IN,901299,whole wheat allergenic extract
282402,IN,1151,ascorbic acid
1301854,IN,1301854,white spirit type 1
1593132,IN,1593128,meningococcal group B vaccine
1658154,IN,797752,hepatitis B surface antigen vaccine
227475,IN,2540,cilastatin
17305,IN,17305,alginic acid
854995,IN,237058,thonzonium
1318501,IN,1318501,Helicobacter pylori
2118547,IN,6387,lidocaine
898694,IN,2418,cholecalciferol
89821,IN,89821,witch hazel
214953,IN,6750,menthol
197505,IN,2541,cimetidine
1243769,IN,10528,thrombin
798444,IN,798444,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine
219957,IN,7393,niacin
1043658,IN,7247,naphazoline
33431,IN,33431,pholcodine
47622,IN,47622,calcium lactate
1094904,IN,7821,oxytetracycline
1298226,IN,22697,dexchlorpheniramine
199393,IN,6750,menthol
215760,IN,9863,sodium chloride
199283,IN,7531,nortriptyline
1086997,IN,161,acetaminophen
1311281,IN,1311281,Streptococcus pyogenes
978942,IN,4083,estradiol
1010673,IN,6387,lidocaine
1341384,IN,1341384,Artemisia vulgaris root extract
1007789,IN,10553,thymol
198906,IN,58300,zinc gluconate
852696,IN,852693,house mouse skin extract
966535,IN,1347,beclomethasone
152463,IN,60207,dorzolamide
261159,IN,2623,clotrimazole
213706,IN,281,acyclovir
8604,IN,8604,potassium permanganate
899444,IN,899444,lentil allergenic extract
1183593,IN,19831,budesonide
1251708,IN,34299,potassium bromide
202961,IN,36387,"sennosides, USP"
809031,IN,6984,minoxidil
1170148,IN,3498,diphenhydramine
1311610,IN,1311610,Inonotus obliquus fruiting body extract
2049547,IN,2049547,matrine
579907,IN,2062,carboxymethylcellulose
323342,IN,275635,desloratadine
1998774,IN,1347,beclomethasone
542527,IN,43611,latanoprost
2418,IN,2418,cholecalciferol
362221,IN,2590,clobetasol
847189,IN,1605101,insulin isophane
1089801,IN,8570,polyvinyl alcohol
105641,IN,50610,goserelin
151124,IN,84857,anastrozole
204890,IN,168,acetic acid
897624,IN,11170,verapamil
810087,IN,2019,carbidopa
1050077,IN,3498,diphenhydramine
1115005,IN,82003,docusate
284896,IN,283809,travoprost
205228,IN,5933,iodine
8096,IN,7980,penicillin G
727347,IN,3992,epinephrine
992675,IN,27084,homatropine
1192430,IN,5924,inulin
2537633,IN,8727,progesterone
701970,IN,1952,camphor
865571,IN,4821,glipizide
1371895,IN,1358845,2-mercaptobenzothiazole
213321,IN,88014,rizatriptan
1718952,IN,2062,carboxymethylcellulose
207773,IN,7417,nifedipine
319824,IN,319824,gentian preparation
372611,IN,10814,liothyronine
1607969,IN,7821,oxytetracycline
1051071,IN,10379,testosterone
2106821,IN,2062,carboxymethylcellulose
1183374,IN,7407,nicotine
261547,IN,114477,levetiracetam
317094,IN,60307,entacapone
892489,IN,7052,morphine
701305,IN,10753,tretinoin
705728,IN,2418,cholecalciferol
1306882,IN,1306882,redroot pigweed whole allergenic extract
1001569,IN,10582,levothyroxine
1430111,IN,1514,betamethasone
151668,IN,4508,flutamide
581398,IN,581398,citrus pectin
1490057,IN,3992,epinephrine
2361646,IN,448,ethanol
801057,IN,221147,polyethylene glycol 3350
1495080,IN,2358,chlorhexidine
606031,IN,6972,mineral oil
153159,IN,43611,latanoprost
995906,IN,7980,penicillin G
1192621,IN,1192621,Asterias rubens preparation
386989,IN,1897,calcium carbonate
1013676,IN,7821,oxytetracycline
1366933,IN,1370660,tetrachloroaurate
1043748,IN,618278,azelate
278346,IN,484348,omega-3 acid ethyl esters (USP)
1441553,IN,612,aluminum hydroxide
861006,IN,6809,metformin
150921,IN,10454,thiamine
352504,IN,5666,immunoglobulin G
855644,IN,3355,diclofenac
197536,IN,2626,clozapine
308972,IN,2002,carbamazepine
1300206,IN,798302,"acellular pertussis vaccine, inactivated"
404552,IN,2019,carbidopa
1166715,IN,5492,hydrocortisone
848579,IN,9863,sodium chloride
810094,IN,2019,carbidopa
1170914,IN,3992,epinephrine
904874,IN,1819,buprenorphine
905093,IN,73056,risedronate
900991,IN,900991,bur oak pollen extract
1809730,IN,5666,immunoglobulin G
1098781,IN,10223,sulfur
204691,IN,2129,castor oil
998740,IN,36387,"sennosides, USP"
332210,IN,6852,methotrimeprazine
404553,IN,2019,carbidopa
4301,IN,4301,omega-3 fatty acids
562847,IN,1512,betaine
197532,IN,2623,clotrimazole
863638,IN,32675,oxybutynin
865568,IN,4821,glipizide
313408,IN,10600,timolol
968849,IN,7407,nicotine
250344,IN,21090,ciclopirox
616749,IN,35829,ranolazine
763100,IN,763100,"poliovirus vaccine inactivated, type 3 (Saukett)"
852272,IN,852272,pecan pollen extract
404551,IN,2019,carbidopa
239208,IN,78903,capreomycin
227591,IN,42372,mupirocin
2532533,IN,2532533,Mitchella repens extract
4388,IN,4388,plasmin
225811,IN,33562,foscarnet
1309470,IN,1309470,Simmondsia chinesis seed extract
1099278,IN,82003,docusate
539817,IN,322167,solifenacin
153892,IN,88249,montelukast
139233,IN,139233,magnesium orotate
208420,IN,4491,fluorometholone
563524,IN,52582,mesalamine
866414,IN,6918,metoprolol
220347,IN,4179,etoposide
724598,IN,2019,carbidopa
991295,IN,5933,iodine
2199317,IN,6387,lidocaine
367599,IN,5492,hydrocortisone
55672,IN,55672,rifabutin
42643,IN,3418,dihydroergotamine
1996196,IN,9525,salicylic acid
617318,IN,83367,atorvastatin
1797914,IN,10759,triamcinolone
411877,IN,6582,magnesium oxide
798300,IN,798286,human-bovine reassortant rotavirus strain G1 vaccine
832717,IN,8591,potassium chloride
859753,IN,301542,rosuvastatin
607033,IN,187832,pregabalin
1486977,IN,1488564,dapagliflozin
863968,IN,66887,racepinephrine
1536157,IN,3289,dextromethorphan
261335,IN,114477,levetiracetam
630208,IN,435,albuterol
846955,IN,10753,tretinoin
1376384,IN,1373349,copper naphthenate
856482,IN,8787,propranolol
151908,IN,14845,apraclonidine
604751,IN,60548,exenatide
1049668,IN,8896,pseudoephedrine
285222,IN,285222,Calendula officinalis extract
892547,IN,892547,corn allergenic extract
1245468,IN,82003,docusate
252870,IN,21406,ubidecarenone
1193085,IN,2354,chlorcyclizine
1722382,IN,1722382,"L-methionine-S,R-sulfoximine"
261654,IN,74667,zaleplon
830797,IN,3443,diltiazem
1044958,IN,508,allantoin
849382,IN,52582,mesalamine
1491644,IN,9525,salicylic acid
92265,IN,5492,hydrocortisone
830863,IN,3443,diltiazem
213269,IN,136411,sildenafil
197663,IN,4099,"estrogens, conjugated (USP)"
607020,IN,187832,pregabalin
2108421,IN,1546438,glycopyrronium
2605721,IN,1044977,panthenol
904934,IN,115264,ibandronate
900770,IN,900770,loblolly pine pollen extract
197312,IN,281,acyclovir
197782,IN,5492,hydrocortisone
104838,IN,10734,tranylcypromine
864732,IN,1399,benzocaine
2374363,IN,8611,povidone-iodine
1716046,IN,237099,alpha tocopherol
308508,IN,1291,bacitracin
224945,IN,4492,fluorouracil
1190641,IN,1223,atropine
1741746,IN,1667655,cariprazine
861008,IN,6809,metformin
206352,IN,5492,hydrocortisone
209613,IN,1596,bisacodyl
2044973,IN,1986438,tisagenlecleucel
891716,IN,11256,vitamin E
978778,IN,67109,dalteparin
831055,IN,3443,diltiazem
404595,IN,114477,levetiracetam
1309292,IN,1309292,anise seed extract
313195,IN,10324,tamoxifen
1045482,IN,6750,menthol
1307644,IN,1307644,Eclipta prostrata leaf extract
1192685,IN,21254,chlophedianol
108782,IN,28439,lamotrigine
746030,IN,1202,atenolol
607028,IN,187832,pregabalin
1250693,IN,6468,loperamide
1049576,IN,7804,oxycodone
2360875,IN,1378,benzalkonium
1242408,IN,49276,doxazosin
801006,IN,314718,magnesium acetate
385735,IN,67187,oxerutins
4495,IN,4495,flupenthixol
583490,IN,4337,fentanyl
372975,IN,31447,nabilone
104062,IN,2541,cimetidine
251577,IN,9525,salicylic acid
616447,IN,68149,mycophenolate mofetil
108513,IN,42316,tacrolimus
705133,IN,4917,nitroglycerin
827349,IN,100213,Bifidobacterium infantis
377624,IN,106212,calamine
1172393,IN,6406,lipase
1251365,IN,29155,magnesium carbonate
2624752,IN,2624742,Zaire ebolavirus envelope glycoprotein
1115877,IN,2418,cholecalciferol
198031,IN,7407,nicotine
866045,IN,36117,salmeterol
569462,IN,10627,tobramycin
860103,IN,35827,ketorolac
2618842,IN,67109,dalteparin
564237,IN,7258,naproxen
261315,IN,260101,oseltamivir
227682,IN,3264,dexamethasone
830803,IN,3443,diltiazem
1431982,IN,42316,tacrolimus
892616,IN,892616,egg white (chicken) allergenic extract
311500,IN,29787,methyl salicylate
896209,IN,36117,salmeterol
1927366,IN,4124,ethinyl estradiol
823971,IN,29046,lisinopril
477639,IN,598,alprostadil
404930,IN,2551,ciprofloxacin
213270,IN,136411,sildenafil
795716,IN,3264,dexamethasone
847261,IN,400008,"insulin glulisine, human"
1998772,IN,1347,beclomethasone
1598320,IN,4850,glucose
213468,IN,140587,celecoxib
1251325,IN,4124,ethinyl estradiol
315888,IN,33747,estropipate
213729,IN,1520,betaxolol
309374,IN,2626,clozapine
247691,IN,19831,budesonide
1424253,IN,34347,pramoxine
217028,IN,37319,sulconazole
1359031,IN,4124,ethinyl estradiol
202582,IN,2447,cholestyramine resin
1551300,IN,1551291,dulaglutide
241509,IN,508,allantoin
1923054,IN,1873916,ribociclib
992766,IN,6932,miconazole
1089769,IN,215648,compound benzoin tincture (USP)
1362877,IN,1362877,propane
607018,IN,187832,pregabalin
1543168,IN,9525,salicylic acid
27221,IN,27221,hydrotalcite
1801280,IN,2447,cholestyramine resin
573186,IN,194881,brinzolamide
220458,IN,10759,triamcinolone
311028,IN,1605101,insulin isophane
830846,IN,3443,diltiazem
199563,IN,1374,benserazide
216861,IN,34296,potassium bicarbonate
214986,IN,1418,benzoyl peroxide
1431977,IN,42316,tacrolimus
748857,IN,11636,drospirenone
1311620,IN,1311620,ceteareth-12
835909,IN,3008,cyclosporine
616698,IN,35636,risperidone
1990747,IN,9525,salicylic acid
746946,IN,3992,epinephrine
226552,IN,9601,scopolamine
1370469,IN,1370469,onion extract
1648691,IN,1648691,Butea monosperma flower extract
218309,IN,214549,"estrogens, esterified (USP)"
619044,IN,4511,folic acid
792845,IN,284637,hylan G-F 20
855174,IN,356887,levocetirizine
205173,IN,9525,salicylic acid
993545,IN,42347,bupropion
998540,IN,6932,miconazole
142004,IN,8570,polyvinyl alcohol
2102477,IN,2102477,field mushroom allergenic extract
1667647,IN,1314612,altrenogest
245199,IN,9525,salicylic acid
329869,IN,5781,indomethacin
861762,IN,6809,metformin
103899,IN,55672,rifabutin
763472,IN,598,alprostadil
2262277,IN,2262277,S-adenosylmethionine synthase isoform type-2
1658241,IN,804187,yellow fever virus strain 17D-204 live antigen
904431,IN,46041,alendronate
1251196,IN,6218,lactulose
1370771,IN,5492,hydrocortisone
545243,IN,4491,fluorometholone
1542919,IN,36676,sodium bicarbonate
991616,IN,3361,dicyclomine
616238,IN,139825,insulin detemir
852339,IN,852339,aspen pollen extract
705132,IN,4917,nitroglycerin
375200,IN,7892,papain
1184943,IN,7052,morphine
1296277,IN,29155,magnesium carbonate
198590,IN,21406,ubidecarenone
1423494,IN,9525,salicylic acid
891611,IN,891611,coconut allergenic extract
1812945,IN,1812935,Vibrio cholerae CVD 103-HGR strain live antigen
7892,IN,7892,papain
897126,IN,475968,liraglutide
701909,IN,6750,menthol
197818,IN,5781,indomethacin
216450,IN,59839,penciclovir
353017,IN,10379,testosterone
861012,IN,6809,metformin
413257,IN,20877,chloroxylenol
1437793,IN,6932,miconazole
215381,IN,5492,hydrocortisone
353022,IN,5487,hydrochlorothiazide
1722233,IN,1722233,brillant blue
860983,IN,6809,metformin
1593133,IN,1593128,meningococcal group B vaccine
28004,IN,6057,isosorbide
607022,IN,187832,pregabalin
991284,IN,5933,iodine
825325,IN,42375,leuprolide
2206099,IN,1605101,insulin isophane
427689,IN,2635,coal tar
1053258,IN,1767,brompheniramine
