clean_name,rxcui
Ener-G Xanthan Gum General Dietary Ltd,1307815
Hyoscine Butylbromide Tablets 10Mg,1851
Becotide 200 Inhaler,151414
Mediven Elegance Class 2 23-32Mmhg Below Knee Closed To...,1310262
Gaviscon Advance Oral Suspension Aniseed Forum Health Pr...,25655
Rhinocort Aqua Nasal Spray 100Mcg Act 100 Dose Nasal Spray,1797931
Depo-Provera Injection 15,202886
Hydrocort.Acetate 1% Pramoxine 1% Foam,828362
Estradio + Estradio + Norethistero Acetat Tab 1Mg+ 1Mg+1Mg,249869
Fybogel Orange Sachets,892565
Beclometh Diprop Inha 200Mcg 200 Dose,966536
J. Bulbs Co2,1355184
Mobile Cassette Roche Diabetes Care Ltd,259090
Glycerin 4 Gm Sup,336161
Calcichew Chewable Tablet Shire Pharmaceuticals Ltd,388311
Biocath Aquamatic Hydrogel Coated Pre-Filled Catheter Mal...,6553
Estracombi Tts Transdermal Patches,998673
Beconase Aqueous Nasal Spray 50 Micrograms Inhalation,1797917
Elleste Solo Tab 2Mg,1543730
Softclix Ii Lancing Dev Roche Diag,1999003
Readywrap Foot Wrap Large Left Beige Lohmann & Rauscher ...,1429889
Lignocaine 2% Injection 2Ml,1737757
Clostet Vaccine,798304
Bactroban Cream 2 %,213182
Canesten Hc Cream,404044
Simplicit Unise Blac Suppo Boxe Medium Large Salts Boxbml,236741
Derbac-M Liquid 55Ml,307746
Scholl Softgrip Class 1 Ntrl Crclr Knt Opn T Sto Lar Ssl In,2049736
Jobs Opaqu Clas 1 San Close Toe Tight Short Size 3 Bsn Med,999622
Levothyroxine Tabs 50Micrograms Aps,372595
Tetanus Vaccine Merieux 0.5 Ml Single Dose Syringe,830555
Sodium Cromoglycate Complete Unit Inh,3538
Nitrolingual Pump Spray Cfc Free 400Micrograms Dose,995018
Chloromycetin Ophthalmic Ointment 1%,48008
Ener-G Gf Wf Xanthan Gum General,1307815
Thyroxine 25Microgram Tablets,10582
Schol Softgri Circula Kni Thig Stockin Medium Ssl Class 1,1310578
Rite-Diet Biscuits G,1366116
Motifene E C M R Capsules 75 Mg,218128
Hibiscrub Solution,2369353
Uriplan Nn-Rtrn Vlv+Tap Ndb 2 Bard D81-3131,9793
Adhesive Remover Ecolab 438758,1311202
Irrigation Cone Kit 7718 Hollister Ltd,581662
Inderal-La Caps S R 160 Mg,856483
Hydroxypropyl Guar Eye Drp Eye Drops,1361655
Dovonex Cream 0.005%,108959
Flixotide Disc 250Micrograms,1311365
Flixotide 500Micrograms Diskhaler,759473
Qvar 100 Cfc-Free Inhaler 100Micrograms Dose,799040
Estraderm Mx 50 Patch,2181304
Unilet General Purpose Superlite Lancets 0.66Mm 23Gauge ...,1012523
Titanium Oint,1305547
Half Inderal La M R Capsules 80 Mg,856571
Flixotide Disc 250 Mcg,1311365
Erymax 250Mg E C Granules In Capsules,199138
Otomize Spray,2597535
Fulcionel Female Low Waist Lace Support Briefs Extra Small F344 White Cui International,420222
Tetanus Vaccine Merieux 0.5 Ml Ampoule,830555
Prempak C 0.625,1797511
Activa Circular Knit Closed Toe Sto Ext Activa Class 2,1307051
Limone Deodorant Spray 3905 Clinimed Ltd,1733667
Prempak C 1.25Mg Tab,141990
Desoxymethasone Oily Crm 0.05%,197573
Activa Circular Knit Closed Toe Sto Ext Activa Class 1,1307051
Ruta 6C,1310215
Eltroxin Tabs 50 Micrograms,2607026
Pro-Gest Cream Higher Nature Ltd,998701
Trufree No.7 Gf Flour 500G,1310564
Pulsatilla Nigricans Tabs 6C,1311188
Typhoid Vaccine Vivotif,762602
Triludan Forte 120Mg Tabs,202844
Eucerin Intensive 10% Foot Cream With Urea Beiersdorf Uk Ltd,106199
Vitamin C Tab 100Mg,313841
Scholl Softgrip Class 2 Ntrl Crclr Knt Opn T Sto Ext Ssl In,1420979
Panadol Advance 500Mg Tablets Glaxosmithkline Consumer H...,200977
Lignocaine 5Ml Inj 2%,1012068
Betnovate 25% In Emulsifying Ointment Oin,1801283
Thyroxine Tablets 25Micrograms,10582
Dermacool 1% Cream Pern Consumer Products Ltd,581662
Haddenham Microfine 20-36Mmhg Toe Cap With Compressive ...,1299659
Thyroxine 50Microgram Tablets,10582
Betnovate 25% In Emulsifying Oint Oin,1801283
Blephaclean Wipes Spectrum Thea Pharmaceuticals Ltd,1039547
Maneveac 250G Grans,1306235
Dothiepin Hydrochloride Tablets 75 Mg,199462
Eesilite Cl3 Bel Knee Ot Hose,1310262
Frusemide,4603
Folysil X-Tra Silicone Pre-Filled Catheter With Empty Syringe For Balloon Deflation Male 14Ch Aa8A14 Coloplast Ltd,405113
Sympacath Aquaflate Hydrogel Coated Latex Catheter Male 18Ch Dh310118 10Ml Balloon Teleflex,1314891
Sporanox Cap 100Mg,833164
Insulin Isophane Biphasic Porcine 30 70 100Units Ml Suspe...,221108
Diaphragm Flat Spring Vaginal Contra Dev 85Mm,1600597
Flagyl,202866
Thyroxine 50Mcg,10582
Ensure Plus Advance Liquid Flavour Not Specified,2367800
Salamol 100Microgram Inhalation Inhalation Powder Kent Pharmaceuticals Ltd,1922745
Arjun Crm 1%,2592072
Neo-Cortef Ear Oint,202645
Lignospan Special 2% Injection 2.2Ml Cartridges Kent Pha...,1011814
Human Insulatard Pen 100 Iu Ml,2206090
Zinc Oxide + Soothing Agents Supp,1302174
Rabies Vaccine Injection,830467
Co-Dydramol Sf Susp 10Mg + 500Mg 5Ml,979444
Cutivate Crm 0.05%,895989
Pulmicort 0.2Mg Dose,196487
Elastic Band Inguinal Single Left Truss 39 40Ins Sallis,1235018
Eucerin Dry Skin Relief 5% Cream With Urea Beiersdorf Uk Ltd,1442723
Thyroxine Sod Tab 25Mcg,40070
Thyroxine Sod Tab 100Mcg,40070
Beconase Aqueous Nasal Spray Aqueous 50 Microg Met Unit,1094908
Tegretol Prolonged Release 200Mg Tablets Novartis Pharmaceuticals Uk Ltd,866305
Canestin Cream 1%,351974
Co-Amilofruse Tabs 2.5 20,262150
Co-Amilofruse Tabs 5 40,262150
Ult Cir Kni Clo Toe Hol Up Thi Sto Medium Ssl Int Class 1,992775
Stemetil 5 Mg Sachet,142091
Thyroxine Tabs 50 Micrograms,10582
Polyfield Nitrile Patient Pack With Medium Gloves Shermond,2388134
Mini-Wright Peak Flow Meter Replacement Mouthpiece Plastic Clement Clarke International Ltd,801092
Dicloflex 50Mg Gastro-Resistant Tablet Ratiopharm Uk Ltd,581662
Mfv Ject Syringe 0.5Mls,2587313
White Soft Paraffin + Light Liq Paraffin Crm 15% + 6%,8091
Sulphasalazine Tab 500,198232
Stomahesive Wafer S100 100Mm X 100Mm Convatec Ltd,217263
Mediven 95 Class 1 18-21Mmhg Combined Armsleeve With Si...,1591916
Blistex Relief Crm,1366789
Anusol Cream 23G,1659445
Co-Amoxiclav Tabs See Tabs Formulations Below,19711
Cyclogest Pessary 400Mg,198245
Macrogol 4000 Pwdr 10G,1310594
Sodium Cromoglicate Eye Drp 2% W V,562108
Mysoline 250Mg Tablet Astrazeneca Uk Ltd,201747
Becotide 100 Inhaler 100 Mcg Actuation,151414
Perinal Spray,1053207
Niquitin 14Mg Transdermal Patch Glaxosmithkline Consumer Healthcare,1041498
Aquasleeve Small 783678 24Cm-33Cm Coloplast Ltd,1492300
Xatral Xl Tablets 10Mg,356728
Simpla G-Strap Adult 383001 45Cm Coloplast Ltd,104155
Sulphasalazine Tabs Enteric-Coated 500 Mg,313142
Ultimate Surefit Maintenance Ring Set 15222 Imedicare Ltd,2283518
Zestril 20 Mg,104378
Pastariso Gf Pasta 284Gms General,1367185
Multivitamins Tablets,1234482
Dermovate Nn Oin,861472
Betnesol Ear Eye Nose Dps,316958
Mixed Pollen Tabs 30C,1550700
Gaviscon Advance 100Mg 5Ml Sugar Free Suspension Peppermint,25655
Biocath Comprehensive Care Foley Tray Catheter Male 16Ch ...,215369
Euphrasia Officinalis Tabs 30C,2274241
Carmellose Gelatin Paste,4716
Gammabulin Injection,1388
Limone Deodorant Spray 3905 Clinimed Ltd Essentials Acce...,1733667
Amoxycillin Tab 500,308192
Tildiem La 300Mg Modified-Release Capsule Sanofi,830883
Prosys Shrt Tube Sld Actn Tap Leg 350 Clinisupp P350S,892610
Propine Eye-Drops 0.1%,1190801
Dicyclomine Hcl + Alkalis & Dimeticone Gel,3361
Calcium With Vitamin D Tabs - Specify Strength 1 98,1310948
Corsinel Suportx Male Low Waist Support Boxers Small 1700...,1150288
Duovent Autohaler,966811
Ethicon Braided Silk Suture W328,314455
Convatec Niltac Sting Free Medical Adhesive Remover Aerosol Tr101 Convatec Ltd,1183277
Betnovate Scalp Application,861510
Ensure Plus Juce Liquid Fruit Punch Abbott Laboratories Ltd,607868
Ensure Plus Milkshake Style Liquid Blackcurrant Abbott L...,1855514
Niquitin Cq Patch 21Mg,351429
Nizoral Shampoo,1296820
Voltarol Sr Tablets 75Mg,1600439
Opticrom Allergy Eye Drops -,1043704
Ultra Gluten-Free Cracker Bread,2284286
Tegretol Retard Controlled Release Tablet 200Mg,866305
Typhoid Vaccine Vi Capsular Polysaccaride Vaccine 25 Microg,807219
Diphtheria Vac,3510
Altipress Compression Liner Regular Extra Large Altimed ...,420222
Haddenham Veni Class 2 23-32Mmhg Thigh Length Closed To...,215705
Ventolin 100 Easi-Breathe,226084
Ocuvite Lutein Caps,352845
Softclix Lancing Device Roche Diagnostics Ltd,581662
Peppermint Oil 0.2Ml M R Caps,33094
Conjugated Oestrogens 625Microgram Tablets And Norgestrel 150Microgram Tablets,432572
Adalat La Tab 60Mg,491079
Supreme Comf Cl2 Ot Thigh Stkg,1251208
Diaphragm Type A Vaginal Contraceptive Device 70Mm,1312375
Climagest Tabs,202896
Fybogel Hi-Fibre Lemon Grans,1364291
Marvelon Tabs,416784
Priadel Tablets 200Mg,581662
Pyridoxine Tablets 50Mg,639566
Ung. Propaderm 10% In Ung.,151414
Nystaform-Hc Ointment,1116154
Irrigation Water Container 95200-0000 Dansac Ltd,379002
Irrigation Clamp 95210-0000 Dansac Ltd,892539
Dicyclomine Hydrochloride Tablets 10 Mg,991060
Elastic Band Truss Inguinal Double,1235018
Pulmicort Turbohaler 200 Micrograms Dose,196487
Irrigation Cone 95205-0000 Dansac Ltd,581662
Lifestyle Gf Sausage Rolls Large Ultrapharm,2591799
Becodisks Diskhaler,151414
Clinimed Superskin Liquid Barrier Film Wss 0007,1486878
Tetanus Ads Vaccine 0.5Ml Amp Merieux,830555
Voltarol Emulgel 20G,1600439
Coal Tar + Lecithin Scalp Lotion 2.5% + 0.3%,687148
Dover All Silicone Catheter Male 16Ch 8887705161 5Ml-10Ml...,470149
Estrad Vale & Estra Vale + Levonorgest Tab 1Mg+ 1Mg+250Mcg,2539228
Sch Soft Cla 2 Nat Circ Kni Clo Toe Thi Sto Medium Ssl Int,1299655
Typhim Pre-Filled Syringe,1486496
Dover All Silicone Catheter Male 18Ch 8887705187 5Ml-10Ml...,470149
Aerochamber Type 3 Spacer Device,1426856
Zovirax 5% Cream 2G,825321
Suture Braid. Silk 75Cm 35Mm Reverse Cut,314455
Rynacrom Nasal Spr 2,1738536
Convatec Ltd Naturess Closed Pouches,1298738
Coloplast 2466,199129
Liq Paraffin,6972
Xylocaine Inj 1% With Adrenaline 20Ml,1737637
Convatec Niltac Sting Free Medical Adhesive Remover Wipes Tr102 Convatec Ltd,1183277
Credalast Comfort Sto Lge Credenhill Class 2,643493
Buscopan Injection 20Mg Ml,1094498
Sterile Water,107129
Servier Adsorbed Tetanus Vaccine,798306
Aquasept Aqueous Solution,1094908
Adsorbed Tetanus Vaccine Ampoules 0.5Ml,798306
Novagard Intra-Uterine Device - Deleted 5 98,1363423
Buscopan Tablets 10Mg,203547
Arnica Tablets 30C,144377
Fucidin H Ointment,103577
Chlorhex Ac Gauze 10X10Cm Dres,2358
Actrapid 100Iu Ml Human,213442
Gaviscon Original Aniseed Relief Reckitt Benckiser Healt...,25655
Monotard 100 Iuml Human,343211
Depo-Medrone 40Mg 1Ml Injection,1743781
Sudafed Tablets 60Mg,203302
Foley All Silicone Catheter Female 14Ch D166114 10Ml Ball...,470149
Sympacath Aquaflate Hydrogel Coated Latex Catheter Female 16Ch Dh210116 10Ml Balloon Teleflex,1314891
Sodium Alginat + Potassiu Bicarbonat Sf Ora Sus 1000Mg+200Mg,643816
Coal Tar Ext Crm 1%,250783
Cholera Vaccine 1.5Ml Inj.,1812951
Twinrix Adult 1Ml Syringe 720U Hep.A+20Mcg B,798428
Feldene Gel 5Mg G,197288
Coal Tar Extract 1% Cream,90735
Dioctyl Syrup 50 Mg 5 Ml,82003
Beclometh Diprop Inha 250Mcg 200 Dose,966765
Dhc Continus Tabs 120 Mg,795735
Ostomart Ostoguard No Sting Protective Skin Barrier Film ...,1368022
Liq Paraffin In White Soft Paraffin Oint 50%+50% Loveridge,8091
Co-Proxamol Tab 32.5Mg 325Mg,639194
Amoxycillin Caps 500Mg,317616
Ileo Gel+ Sachets 005012E B.Braun Medical Ltd,1542803
Hydroxychlor Sulph Tab 200Mg,979092
Ems Pvc Female Nelaton 12 - 18 Ch Ssl T2012-18,865216
Polyvinyl Alcohol + Macrogol Eye Drp 1% + 2%,312484
Co-Amoxiclav Tablets 500Mg+125Mg,19711
Ultrabase Cream,1045345
Erymax,1368963
Dithrocream Forte 0.5% Cream 50G,1547777
Ventolin Easi-Breathe Breath-Actuated Inhaler 100 Microgra,226084
Gauze Swabs Bp 1988 Type 13 Light Non-Sterile 8 Ply 10Cmx10Cm A A H Pharmaceuticals Ltd,1312375
Gauze Swab 8Ply Non-Sterile 10Cm X 10Cm Robert Bailey & Son Plc,857366
Rhus.Tox.6C,283583
Trisequens Calendar Pack,1305100
Hepatitis A Vaccine 1Ml Pre-Fill Syringe,803369
Neutrogena T Gel Shampoo For Sensitive Scalp Johnson & Johnson Ltd,205023
Bioplex Mouthwash Grans 1%,852139
Clinimed Limone Deodorant Spy 50Ml,1733667
Icaps One A Day Tablets Alcon Laboratories Uk Ltd,897082
Icaps Tabs,308934
Sudafed Tablets 60 Mg,203302
Ostosorb Gel 3G Sachets Ostomart Ltd,208397
Co-Dergocrine Mesylate Tablets 1.5 Mg,4024
Ostomart Ostosorb Gel 3G Sachets Respond Healthcare Ltd,208397
Volsaid Retard 75Mg M R Tablets,218128
Cholera Vaccine Inj 1.5,1812951
Canesten 10% Vc Vaginal Cream 10%,996757
Scholl Softgrip Crclr Knt Clsd T Sto Ext Ssl Int Class 2,1666317
Lifestyle Gf Healthcare Fres Hi Fib Brd Sliced Ultrapharm,1367185
Softclix Ii Lancet-Sterile Single Use 0.36Mm 28,2611703
Lifestyle Gf Hi Fibr Brd Sliced Ultrapharm,1367185
Paraffin Hard Low M,7906
Keral Film Coated Tablets 25Mg,543367
Hydroxypropyl Guar Eye Drp 0.2%,1361655
Beclometh Diprop Oint 0.025%,966629
Hypericum Tabs 30C,1309228
Flu Vaccine Split Virion,798304
Rite-Diet Lp Flour Mix Shs,2048034
Menthol Gel 2%,311502
Amoxycillin Sachets 3G,723
Chlordiaepoxide,2356
Co-Proxamol Tablets 32.5Mg + 325Mg,639194
Adalat La Tabs 60 Mg,491079
Betnesol -N Nasal Drops,1311545
Nitrile Glove Medium,2388134
Scheriproct Ointment 30G,2170634
Gyne T380 Iucd Janssen,309368
Becotide-200 200Microgram Inhaler,151414
Inderal La Cap 80Mg,856571
Typhoid-Paratyphoid Vac,807219
Lipitor Tablets 10Mg,617314
Unile Univers Comfortou Typ A & B Lancet-Sterising Use 0.45M,36387
Becotide Rotohaler C,151414
Conjugated Oestrogen Tab,378834
Propaderm Ointment 0.025 %,151414
Sodium Hyaluronate Pres Free Eye Drops 0.15%,1149334
Thyroxine 0.05Mg,10582
Engerix B 1 Ml Pre-Filled Syringe,798428
Rite-Diet Biscuits R,1091
Thyroxine Tablets 50 Micrograms,10582
Adifax Caps,891522
Isopropy Alcoho + Chlorhexidin Acetat Viscos Swab 70% + 0.5%,797544
Naseptin Nasal Cream,413262
Methyldopa Cap 250,316283
Chloromycetin Redidrops 0.5%,48008
Demix Cap 100,262418
Climagest Tablets 1Mg,202896
Flixonase 0.05% Nasal Spray,1797933
Intal Compound Spincaps,216171
Ult Circ Kni Clo Toe Hol Up Thi Sto Large Ssl Int Class 1,992775
Rite-Diet Biscuits Rich Tea G F,284637
Dioralyte Sachets Pineapple,1492174
Neo-Naclex-K Tabs,204346
Proscar Tablets 5Mg,201961
Acti Cla 2 Circul Kni Clos Toe Bel Kne Stocki Large Activa,1299655
Ventolin Accuhaler 200 Mcg Inhaler Breath-Actuated Dry Powde,859088
Pvc Ring 1.25Cm Thick Pessary 74Mm,313138
Spectraban 25 Uvb Spf 25 Lot,244637
Multivitamins Drops,1234482
Becodisk 200Mcg Diskhaler 14X8,151414
Aerochamber Standard,215502
Chlorphenamine Tabs 4Mg Sussex,1363309
Simpla Catheter Valve Coloplast 380851,220619
Erythrocin 250 Tab 250Mg,750837
Secura Barrier Film Wipes 66800712 Smith & Nephew Health...,1494206
Lignocaine Hcl + Adrenaline 1:80 000 Inj 2% W V,1660016
T-Gel Shampoo 2% W V,1305100
Detrusitol Xl Caps 4Mg,1242404
Detrusitol Xl 4Mg Capsule Pharmacia Ltd,1242404
Peroxyl 1.5% Mouthwash Colgate-Palmolive Uk Ltd,1727009
Tetanus Vacc Servier,798306
Nizoral Dandruff 2% Shampoo Mcneil Products Ltd,1296820
Ispaghula Husk Orang 3.5,104129
Ultrabase Cream 50G,1045345
Vicryl Rapide Sut 1.5 Ethicon W9922,1311638
Suby G Bladder Washo Sol,314124
Gamgee Blue Label Bp Tissue Robinson 26495,8410
Zinc Oxide With Soothing Agents Suppository,374564
Dalacin T Aqueous Lotion 10 Mg Ml,1094908
Dicloflex Sr 75Mg Tablet Ratiopharm Uk Ltd,581662
Olive Oil,1309250
Frusemide 20Mg Tablets,310429
Vitamin B Comp Strong Forte Tabs,11251
Pulsatilla Nigricans Tabs 1M,1311188
Ensure Plus Vanilla,901291
Autoclix Lancet,1307719
Rhus Toxicodendron 6C Homeopathic Tablets,283583
Sodium Cromoglycate Nasal Spray 4%,3538
Pregnyl Inj,202637
Venosan 5000 Class 2 5002 23-32Mmhg Below Knee Open T...,1310262
Lomotil Tablets,28874
Ultrabase 50G Cream,1045345
Duom Circul Kni Ope Toe Bel Kne Stocki Small Medi Class 2,1010769
Pneumococcal 10-Valent Saccharide Conjugate Adsorbed Vaccine,2566308
Kenalog Ia Im Im Inj 80Mg 2Ml,2168083
Cocodamol 500 30,817579
Merieux Typhim Vi 0.5Ml Syr.,1486496
Asilone Susp S F,8156
Premique Cycle Tablets 0.625Mg + 10Mg,1373504
Tubeg Tubu Surg Lightwe Cot Stockin 2.6-2.8Cm 12 Medlock,209326
Piriton 4Mg Tablet Stafford-Miller Ltd,1085554
Ring Pessary 7.5Mm Thick 74Mm Diameter Polythene,1363566
Avaxim Vaccine 160 Units 0.5Ml,2106334
Surgicare Accuseal S,863965
Fultium Daily D3 2 740Units Ml Drops Internis Pharmaceuticals Ltd,1650274
Pneumovax 11 Injection 25Micrograms 0.5Ml Vial,1658472
Insulin Human Velosulin Inj 100I U,249220
Prempak -C 0.625 Tablets -,1088869
Typhim Vi Vaccine 25Mcg 0.5Ml Pre-Fill Syrng,1486496
Havrix Monodose Vaccine 1440 Units Ml,1658060
Betnovate 25% In Emu Oin,1309389
Lanolin Cre,6227
Carbo-Dome Crm 10%,272
Canesten 200Mg Pess,852074
Clini Gauze Swab 8Ply Non-Sterile 7.5Cm X 7.5Cm Clinisupplies Ltd,2626480
Ibuleve Speed Relief Gel 5%,808955
Estraderm Mx Patch 50Mcg 24 Hours 1.5Mg Unit,2181304
Calcichew D3 500Mg 400Unit Caplets Forum Health Products Ltd,846138
Dermovate Ointment,861472
Estracombi Tts Patch,220372
Sodium Ironedetate Elixir 27.5 Mg 5Ml,105673
Tenoretic Tablets,37789
Uniphyllin Continus Tabs S R 400 Mg,2023
Normal Saline Sterile Sol 100Ml,1431150
Lomotil Tabs,28874
Octenidine Hcl Lotion,2119240
Aconitum Napellus Pillules 30C,1310220
Co-Trimoxazole 480Mg Tabs,10831
Fabhistin Tabs 50 Mg - Product Deleted 1 94,1729086
Aconitum Napellus 30C Homeopathic Pillules,1310220
Hypericum Perforatum Tabs 6C,258326
Fsme-Immun Encephalitis Vaccine Vac,1300779
Co-Fluampicil 250 250,2037
Liq Paraffin 5% Whit Oin 5,6972
Dermovate 0.05% Ointment 30G,861472
Altacite Plus Sf Susp,392038
Thyroxine 100Microgram Tablets,10582
Credalast Classic Circular Knit Class Ii Below Knee Nylon...,1358484
Symbicort Turbohaler 400Micrograms + 12Micrograms Actuation,327148
Fine Point Type A Lancet-Sterile Single Use 0.5Mm 25Gauge,1312375
Becotide 100Mcg. Mdi,151414
Microlan Steri Hyp Ndle Sgl Use 0.45Mm 26Gauge 16Mm Becton,1148138
Mini-Wright Peak Flow Meter Standard Range,215502
Bi-Aglut Gluten-Free Spaghetti,2284286
Resource Thickened Drink Custard Apple Nestle Health Sci...,630303
Sno-Phenicol Drops Eye 0.5,25086
Lignocaine Gel 2 %,2107764
Haliborange Vitamins A C & D Chewable Tablets Seven Sea...,880340
Pevaryl-1% Spray 200G Pdr,1046867
Nicorette Patch 10Mg,203808
Niquitin Cq Patch 7Mg,351433
Calogen Extra Emulsion Flavour Not Specified,1872070
Tetanus Vaccine 0.5Ml Inj.,830555
Saliva Replacement Liquid,1426466
Amoxil Capsules 250 Mg,1358974
Benzamycin Gel,117919
Lycopodium Clavatum Tabs 30C,283577
Cyclo-Progynova Tablets 2 Mg,1362685
Macrogol Comp Npf Half Strength Sf Oral Pwdr,313048
Cephalexin Caps 250 Mg,315607
Evorel Conti Transdermal Patches,203354
Fortisip Yogurt Style Liquid Flavour Not Specified,1855514
Cosopt Preservative Free Eye Drp,1922784
Myocrisin Injection 50Mg 0.5Ml,1242606
Co Codamol Efferv,817579
Cetaphil Moisturising Lotion Galderma Uk Ltd,240464
Maxalt,218248
Durex Type 2 Vagin Applicator,1306125
Eucerin Dry Skin Relief 5% Face Cream With Urea Beiersdo...,1442723
Depo-Medrone 80Mg 2Ml Injection,1358619
Mildison Lipocream Emollient Cream 1%,1422172
Dressit Sterile Dress Pk Med Lge Glo Richardson,902307
Hepatitis A Vac 1440U Ml 1Ml Pf Syrg,798477
Fresubin 2Kcal Drink Fruits Of The Forest Fresenius Kabi...,284153
Vitamin B Compound Strong 20Mg Tablets,11251
Volumatic Spacer Holding Chamber Device Type 2,1367185
Superdrug Vitamin C 500Mg Plus Bioflavonoids Chewable Tab...,313803
Co-Trimoxazole Inj 96Mg,10831
Mixtard 30 Penfill 100 100Iu Ml Penfill Novo Nordisk Ltd,847241
Sennoside B Tab 7.5Mg,451463
Sunscreen Lotion,197795
Propaderm Ointment 50G,151414
Nitrolingual Cfc Free Pump Spray 400Micrograms Dose,995018
Meltus Adult Chesty Cough + Congestio Ora Sol 100Mg+30Mg 5Ml,1790650
Cyklokapron 500Mg Tablets,151568
Ruta Grav Tablets 6C,1310215
Selenium Sulphide Crm Shampoo 2.5%,36345
Imuran Tabs 50Mg,105611
Fucidin Pow,151802
Albupore 5Cm,2626480
Dalacin Intravaginal 40G Cre,1809525
Elidel Cream 1%,352085
Depo-Provera Injection 150 Mg Ml 1 Ml Vial,202886
Havrix Monodose Vaccine -,203439
Lantus Solostar Inj Soln 100 Units Ml,847232
Autopen Classic Hypodermic Insulin Injection Pen Reusable...,1038855
Xylocaine With Adrenaline 1:200 000 Injection 2% W V,1010763
Simple Oc Ung,1305106
Cicatrin Pwdr,200083
Vicryl Rapide Suture 1.5Gauge 75Cm Length With 16Mm Curve...,2106766
Ostoshield Res50 Ostomart Ltd,581662
Catheter Nelaton Ems,617716
Neoral 50Mgm Caps,202817
Cred Cla 2 Ope Toe C Bel Kne Sto Long Leg Large Credenhill,892610
Naseptin Crm,413262
Depo-Medrone 40Mg 1Ml Inj,1743781
Sodium Cromoglycate Insuf Carts 20 Mg,3538
Tri-Adcortyl Otic Ointment,1430115
Nu-Hope Belt Large 6432J 90Cm-100Cm Length 150Mm Width Large Oval Opening Nu-Hope Laboratories Inc,218795
Prestige Smart System Colorimetric Strip S,863965
Arnica Tabs 30C,144377
Humulin M3 Inj 100 Units Ml,311036
Novomix 30 30 70 100Units Ml Injection Novo Nordisk Ltd,213442
Clini Gauze Swab 12Ply Non-Sterile 7.5Cm X 7.5Cm Clinisu...,2626480
Autopen 3Ml Two Unit Device,636183
Hepatitis B 2Nd Vaccination,797752
Eucerin Dry Skin Relief Face Crm,1442723
Durahesive With Convex-It 19 Mm 45 Mm Flange S7327,979293
Hypromellose Eye 0.5,142002
Becodisks Disc 100Micrograms,151414
Liq Paraffin Wool Alcohols Acetylated Ml Emu,1309389
Imodium Capsules 2Mg,978009
Xylocaine Antiseptic Gel 2% W V,1011854
Becotide 100 Inhalation 100 Micrograms Dose,151414
Profasi 2000 Injection 2000 Iu Ampoule,238270
Alphagan Eye Drp 0.2%,153358
Gonal-F Inj 75 Iu,117040
Diprosalic Scalp Application,861510
Alphagan Eye Drp 0.2% Ml C-Cap,153358
Cutivate 0.5% Cream,895989
Avoid Nsaids,212033
Ferrocontin Continus Tablets 562.5 Mg,795735
Nifensar Xl Sustained Release Tablet 20Mg,1812011
Tetanus Ads Merieux 0.5Ml P F Vac,1594432
Human Actrapid 100U Ml Inj.,1653202
Indocid Suppositories 100 Mg,206969
Zoton 30Mg,311723
Sulfur 30C Homeopathic Tablets,10223
Ventolin Inhaler 100 Microg Met Unit,1187868
Tetanus Adsorbed Vaccine,798306
Evorel Conti Patches Janssen-Cilag Ltd,203354
Belladonna Tabs 30C,375770
Macrobid Caps 100 Mg,539712
Fybogel Orange,892565
Paroven Capsules 250 Mg,312544
Thyroxine Tabs 25 Micrograms,10582
Ethamsylate Tablets 500Mg,334703
Softclix Lancets Na,9853
Vectavir Cold Sore Cream 2G,198494
Corlan Pellet 2.5Mg,1649491
Norgestr + Conjuga Oestrog Tab 150Micrograms + 625Micrograms,373123
Terfenedine 60Mg,316771
Mini-Wright Peak Flow Meter Standard Range Clement Clarke I,215502
Kenalog 1Ml Pre-Filled Syringe Inj 40Mg Ml,2480108
Entera Vanilla Liquid,901291
Compression Hosiery Class Ii Anklet Circular Knit Made To...,1999003
Tubigrip Size C 0.5M,542304
Engerix B Vac 20Mcg Ml 1Ml Pf Syrg,1658157
Co-Trimoxazole Tab 100Mg,10831
Sudafed Blocked Nose & Sinus Capsules Mcneil Products Ltd,1926601
Glycerin Syrp 0.75Ml 5Ml,581670
Betnovate 10% In Emulsifying Ointment Oin,1801283
Dothiepin Hcl-Tab 125Mg,3634
Becodisks Disk 400Mcg Refill,151414
Graduated Compression Hosiery Below Knee Class 1,1310262
Novagard Iucd,1089997
Carbocysteine Capsules 375 Mg,246657
Ibuleve Sports Gel,284923
Mucogel Sugar-Free Suspension,824586
Tetanus Adsorbed Vaccine -,798306
Sodium Cromoglycate Eye Dro 2%,3538
Dexamphetamine Tablets 5Mg,3288
Terolin See Micturin Tab 12.5Mg,1038929
Nasacort Aqueous Nasal Spray 55Mcg Actuation,1797915
Altipress Compression Liner Long Extra Large White Altimed Ltd,1996986
Hepatitis A Vaccine Prefilled Syringe 1Ml,803369
Altipress Compression Liner Long Extra Large White Altim...,1996986
Gyno-Pevaryl 1 Pessary,313138
Normacol Plus Granules,152000
Istin Tab 5Mg,58927
Sno Tears,2123234
Slow-Fe Folic Tabs,152364
Migraleve Tabs Yellow,1356
Femseven 50 Patch 50Micrograms 24 Hours,802780
Cicatrin Powder 15G,205843
Synalar-C Cr,224949
Rhus Tox Tabs 30C,283583
Gaviscon Advance Sf Oral Susp 1000Mg + 200Mg,25655
